Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,1,0,24,14803.0,0.1280824055637715,0.0011087500775455927,0.8656536958884273
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,2,24,48,13842.0,0.1260690689734976,0.0011219935363026082,0.8899832016198003
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,3,48,72,8789.0,0.09049636251322575,0.0009997980773228002,1.1047936619294316
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,4,72,96,1793.0,0.02372941457083064,0.0005700121982735709,2.402133422095705
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,5,96,120,166.0,0.0026347374713176293,0.00020604722787027094,7.820408299246108
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,6,120,144,18.0,0.00028296989820104397,6.700463056905088e-05,23.679066570340833
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,7,144,168,18.0,0.00029633035277925045,7.021265483202499e-05,23.69404759705108
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,8,168,192,13.0,0.0002169775954168232,6.041425469136563e-05,27.843545125157863
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,9,192,216,15.0,0.0002635731089889267,6.838109835832731e-05,25.94388275064895
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,10,216,240,46.0,0.0007753635413358653,0.00011486698188181253,14.814596735346813
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,11,240,264,170.0,0.002773378807520794,0.00021433603370417923,7.7283360326741875
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,12,264,288,1811.0,0.02391100174074607,0.0005717863372694982,2.391310675600567
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,13,288,312,8935.0,0.09205343786471532,0.0010093436110146243,1.0964757367323836
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,14,312,336,14210.0,0.1292800831215353,0.001134527295450095,0.8775731482037599
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,15,336,360,14708.0,0.12802894610940393,0.0011107603522502057,0.86758532816558
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,1,0,24,20609.0,0.16143464992768322,0.0012110111032376596,0.7501556225879313
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,2,24,48,19125.0,0.1585543747757656,0.0012210712443204864,0.7701277533637138
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,3,48,72,12004.0,0.11733118238751133,0.0011230820838361187,0.9571897776729973
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,4,72,96,2576.0,0.03343396562227602,0.0006755397461724982,2.020519353894433
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,5,96,120,147.0,0.00250253839218396,0.00020866964229913172,8.338319322127408
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,6,120,144,33.0,0.000607862768356458,0.00010638864507122851,17.502082807091902
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,7,144,168,13.0,0.00023264460500443978,6.480981086305371e-05,27.857861076046397
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,8,168,192,12.0,0.0002199036789890051,6.379217199692346e-05,29.009142680197264
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,9,192,216,13.0,0.00026035300771784227,7.243323491531257e-05,27.821163100912642
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,10,216,240,19.0,0.0003587338088000378,8.267684833565618e-05,23.046851539365548
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,11,240,264,150.0,0.0025500139252433167,0.00021003556205611857,8.236643728762283
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,12,264,288,2598.0,0.03331998067994628,0.000671329441889369,2.014795411611419
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,13,288,312,11914.0,0.11685140228642941,0.0011221773747853462,0.9603456636614713
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,14,312,336,19098.0,0.15987826849198078,0.0012333992383893194,0.7714614687931678
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,15,336,360,20449.0,0.16015557483949713,0.0012056076117495638,0.752772804167314
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,1,0,24,25771.0,0.192819227386408,0.001345770910613862,0.697944353815374
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,2,24,48,32808.0,0.24957436496779112,0.0015159668406917717,0.6074208947250713
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,3,48,72,19052.0,0.17570047258606872,0.0013592797007353154,0.7736346298496483
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,4,72,96,3933.0,0.0484973683759342,0.000798922584588534,1.647352446828811
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,5,96,120,121.0,0.0022067041387902166,0.0002041091890884436,9.24950406810505
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,6,120,144,13.0,0.00025485515534828416,7.131936338241228e-05,27.984273374791062
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,7,144,168,14.0,0.00028068776742293906,7.626943129665278e-05,27.172338857834994
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,8,168,192,8.0,0.00016109472801626148,5.7384370562607913e-05,35.62150746287323
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,9,192,216,12.0,0.00024367127603959997,7.075970562572535e-05,29.03900154986914
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,10,216,240,21.0,0.0004037206137488801,8.910511288939645e-05,22.07098420414596
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,11,240,264,100.0,0.0017839203098793948,0.0001811604047834463,10.155184835341327
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,12,264,288,3749.0,0.047219259188504024,0.0007972924043836316,1.688489862157219
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,13,288,312,18674.0,0.17340156007447216,0.0013536601513277772,0.7806505032286964
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,14,312,336,32572.0,0.24852488809728449,0.0015173454915536147,0.6105406597988904
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,15,336,360,25826.0,0.1952253196728785,0.0013591573182122189,0.6961993047262703
