Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,5,96,120,121.0,0.0021980450787669453,0.00020312738205532712,9.241274622505792
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,6,120,144,13.0,0.00025300577090929565,7.07644144203525e-05,27.969486295125673
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,7,144,168,14.0,0.00027849670260435586,7.561528300753136e-05,27.15123098421514
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,8,168,192,8.0,0.00015951190003120374,5.67897801640529e-05,35.60222162292824
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,9,192,216,12.0,0.00024153495852377525,7.0108482753583e-05,29.026225926911504
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,10,216,240,21.0,0.00040109411725925136,8.844780171353858e-05,22.05163274842284
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,11,240,264,100.0,0.0017765634312388247,0.0001802400478908874,10.145432733871106
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,12,264,288,3749.0,0.04795371605568027,0.000807411576135322,1.6837309859319682
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,13,288,312,18674.0,0.17984636555289274,0.0013957658537855282,0.7760878845088666
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,14,312,336,32572.0,0.26069814117413176,0.0015795995945251968,0.6059113376915537
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,15,336,360,25826.0,0.2048344116189632,0.001414886838050196,0.6907466508519061
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,1,0,24,17.0,0.017281198860649362,0.004285584874609068,24.799117868886277
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,2,24,48,23.0,0.023921743118327066,0.005208866694315169,21.774611777034433
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,3,48,72,78.0,0.07434096263248041,0.00862437342261147,11.60110538956538
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,4,72,96,396.0,0.308577219490356,0.0160038709519806,5.186342328967926
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,5,96,120,862.0,0.6143920456152379,0.021643440559721776,3.522741011083329
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,6,120,144,1101.0,0.8097226097138692,0.02513343318967676,3.1039559582704666
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,7,144,168,1123.0,0.8389981752903457,0.025874912223241404,3.084024850743814
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,8,168,192,1187.0,0.9029616225239637,0.027061810064472117,2.9970055636283615
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,9,192,216,1123.0,0.8316082905343463,0.025600640868335467,3.0784494526727104
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,10,216,240,970.0,0.7063458591954074,0.023398078764671554,3.3125526907348344
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,11,240,264,829.0,0.5905643491144617,0.021127141270681864,3.5774494857946557
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,12,264,288,376.0,0.2887684533297554,0.015286869818170882,5.2938157343365475
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,13,288,312,57.0,0.05263170125382001,0.0071252124504245515,13.53787219619355
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,14,312,336,28.0,0.02892886059727263,0.0055252841771360325,19.099556854503106
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,15,336,360,15.0,0.013727356668644764,0.0035852566332320378,26.117603845912114
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,1,0,24,1.0,0.0017693805600922335,0.0017693805600922335,100.0
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,2,24,48,2.0,0.002305016495159483,0.00163658111694827,71.00084187618953
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,3,48,72,5.0,0.004746518242161781,0.0021747597737439357,45.81800095965608
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,4,72,96,112.0,0.06349125564168491,0.006306625133926784,9.93306097066097
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,5,96,120,607.0,0.30736243640962735,0.012720741260420613,4.138677910357093
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,6,120,144,1026.0,0.5457942561513611,0.01726561740105925,3.1633930197079794
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,7,144,168,1114.0,0.6219128776514536,0.018885243659482923,3.0366381430787825
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,8,168,192,1117.0,0.631613329643711,0.0191718860365782,3.0353833804288044
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,9,192,216,1016.0,0.5603147749262125,0.017831305438175234,3.182372879694887
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,10,216,240,884.0,0.47323990740367267,0.01616443012031379,3.4156946334041023
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,11,240,264,547.0,0.27756379669418746,0.012095914657449741,4.357886295515947
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,12,264,288,102.0,0.05542858930365331,0.005691076008108613,10.267401858148162
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,13,288,312,2.0,0.0018558065160100847,0.001312279228347753,70.7120713838803
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,14,312,336,4.0,0.00430931229003262,0.0021731257944318768,50.42859853666876
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,15,336,360,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.308,1,0,24,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.308,2,24,48,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.308,3,48,72,2.0,0.0017064380608189822,0.0012072873920713947,70.74897236480844
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.308,4,72,96,72.0,0.03411674789260511,0.004252135717937574,12.463484888192507
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.308,5,96,120,634.0,0.2763161086740836,0.01117407638966968,4.043946783735857
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.308,6,120,144,1070.0,0.496233028592331,0.01528598723586608,3.080405042612336
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.308,7,144,168,1251.0,0.6159900134878773,0.01757370122837997,2.852919827202007
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.308,8,168,192,1259.0,0.6264290979623929,0.01779557790608453,2.840796821854031
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.308,9,192,216,1226.0,0.6038254645480097,0.01739113054392138,2.8801585168223105
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.308,10,216,240,1117.0,0.5175593889652192,0.015624462986453407,3.0188734509661064
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.308,11,240,264,600.0,0.25910991378426385,0.01072681774474706,4.139871604325514
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.308,12,264,288,62.0,0.029669916240554817,0.003963244282060763,13.357787227735873
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.308,13,288,312,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.308,14,312,336,1.0,0.0012216337395916021,0.0012216337395916021,100.0
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.308,15,336,360,1.0,0.000550254267272976,0.000550254267272976,100.0
Q3p85_W2p62_t0p21_higheps_right,4,0.308,0.354,1,0,24,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,4,0.308,0.354,2,24,48,0.0,0.0,0.0,0.0
