Physics_Setting,Beam_Energy_loweps,Beam_Energy_higheps,epsilon_low,epsilon_high,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,theta_cm,data_avg_Q2,data_avg_Q2_err,data_avg_W,data_avg_W_err,simc_avg_Q2,simc_avg_Q2_err,simc_avg_W,simc_avg_W_err
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2915656512506795,0.7792430801629767,5,2,0.236,0.272,0.254,15,180.0,9.042084279943923,3.774867946553085,0.0019319890102531202,2.63496894580929,0.0004907438236058164,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.29156559216872774,0.77924313156269,5,2,0.236,0.272,0.254,15,180.0,9.042609367829122,3.774819187524186,0.0019323592554348278,2.63497919987985,0.0004908760386015918,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2915643477946767,0.7792427795703118,5,2,0.236,0.272,0.254,15,180.0,9.043070850093962,3.7747789040204083,0.0019324005107224681,2.634989221453201,0.0004908524472102881,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2915574216126151,0.7792403977999394,5,2,0.236,0.272,0.254,15,180.0,9.04251793729129,3.7748453280740626,0.0019311962342538408,2.6349843360244045,0.0004905207970286802,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2915561807919765,0.7792400469067787,5,2,0.236,0.272,0.254,15,180.0,9.042978805598112,3.7748050941631504,0.0019312374150942634,2.634994342606434,0.0004904972568163525,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2915561167960623,0.7792400966655567,5,2,0.236,0.272,0.254,15,180.0,9.043503774773093,3.7747563490049743,0.0019316072282556513,2.635004600042804,0.0004906292725703815,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.29155487736813274,0.7792397462623121,5,2,0.236,0.272,0.254,15,180.0,9.043964759320051,3.7747160941700435,0.0019316484353943467,2.635014609104917,0.0004906057167380472,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.29155802689410487,0.7792402682979979,5,2,0.236,0.272,0.254,15,180.0,9.040071542169395,3.7750717493825277,0.0019314597998829643,2.6349362901769586,0.000490638424659455,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.29155677917267525,0.7792399151296292,5,2,0.236,0.272,0.254,15,180.0,9.040532771856316,3.775031514147475,0.001931500997586873,2.6349463061718543,0.0004906148675089436,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2915567196596454,0.779239966260619,5,2,0.236,0.272,0.254,15,180.0,9.041057056246915,3.774982842423881,0.0019318709622183825,2.634956542656896,0.0004907469782749427,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.29155547332644405,0.779239613580692,5,2,0.236,0.272,0.254,15,180.0,9.041518402332827,3.7749425862616093,0.0019319121862385188,2.6349665611383397,0.000490723405485684,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2915485597464353,0.7792372363023852,5,2,0.236,0.272,0.254,15,180.0,9.040967632216123,3.775008772942325,0.0019307088219456961,2.634961708869425,0.00049039201662443,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2915473169699574,0.7792368847228692,5,2,0.236,0.272,0.254,15,180.0,9.041428364687025,3.7749685663060477,0.001930749971612574,2.634971712369003,0.000490368494946955,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2915472525448779,0.7792369342137072,5,2,0.236,0.272,0.254,15,180.0,9.041952531563748,3.7749199083417246,0.001931119504769014,2.6349819522408118,0.0004905004067327901,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2915460111573717,0.7792365831228364,5,2,0.236,0.272,0.254,15,180.0,9.04241338019914,3.774879680808481,0.0019311606807009868,2.63499195821979,0.0004904768694558053,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2915619684000532,0.7792415807009478,5,2,0.236,0.272,0.254,15,180.0,9.040068530597981,3.7750635245066126,0.0019294022370289817,2.634932897039466,0.0004901850414182541,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.29156072097436764,0.7792412275066007,5,2,0.236,0.272,0.254,15,180.0,9.0405288397398,3.775023374603726,0.0019294433032079204,2.6349428948589897,0.0004901615495095126,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.29156066128872254,0.7792412784341958,5,2,0.236,0.272,0.254,15,180.0,9.041052051168883,3.7749748034560424,0.0019298120864648884,2.634953110591984,0.0004902932943126182,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
