Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,8,168,192,2523.0,0.040117582269227084,0.0008042077019516914,2.0046265414368536
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,9,192,216,3073.0,0.047775684054749266,0.0008684387516819373,1.8177421608170734
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,10,216,240,5412.0,0.07685440872765635,0.0010566460889366502,1.3748672410987035
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,11,240,264,9239.0,0.11488048025896665,0.001218539088135061,1.0607015964663427
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,12,264,288,9765.0,0.11195124741558951,0.0011642120761465179,1.0399277391029753
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,13,288,312,4694.0,0.05238300687367646,0.0007939764489144555,1.5157137711265005
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,14,312,336,1385.0,0.01793958460334881,0.0004919301078469769,2.7421488218581582
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,15,336,360,850.0,0.011477086598215488,0.0003997085792782088,3.4826658826496737
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,1,0,24,303.0,0.004808045347121862,0.0002836361169221973,5.899198040883379
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,2,24,48,552.0,0.008178140669855045,0.0003577265374532387,4.374179314032016
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,3,48,72,2054.0,0.02568028144479472,0.0005911338984460651,2.3018980524681334
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,4,72,96,7309.0,0.08886836819194763,0.0010723409498576428,1.206662136004887
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,5,96,120,9318.0,0.11890710503344197,0.0012559964716981442,1.0562837866962635
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,6,120,144,4719.0,0.06910216649512192,0.0010179306964199785,1.4730807267697412
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,7,144,168,2007.0,0.03285988139726771,0.000739047907910918,2.2490887869496987
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,8,168,192,1507.0,0.02543345863615138,0.0006590949273693735,2.591448283925212
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,9,192,216,2047.0,0.03346886005740244,0.0007446435181321413,2.2248846146985684
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,10,216,240,4840.0,0.07089295780645367,0.001030832372885487,1.454068788750194
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,11,240,264,9140.0,0.1176252233418126,0.0012539318770231895,1.0660399541851078
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,12,264,288,6737.0,0.08233600755893959,0.0010334406208270086,1.2551502695673313
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,13,288,312,1872.0,0.023956622007229863,0.0005768727013503105,2.4079884934370805
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,14,312,336,598.0,0.008917225780571534,0.0003748651734116554,4.203831804151415
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,15,336,360,354.0,0.005614308621028881,0.00030688380099827176,5.466101379764051
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,1,0,24,6649.0,0.06769460152018575,0.0008440213084270013,1.246807410743564
